Query_id	Query ASIN	Description	Product Title
PSRT_Recs_001	B07N6S4SY1	"11.6"" Windows laptop"	"ASUS VivoBook L203MA Ultra-Thin Laptop, Intel Celeron N4000 Processor, 4GB LPDDR4, 64GB eMMC, 11.6"" HD, USB-C, Windows 10 in S Mode (Switchable to Pro), L203MA-DS04, One Year of Microsoft Office 365"
PSRT_Recs_002	B082QKFJB2	"27"" QHD gaming monitor"	"MSI Non-Glare with Narrow Bezel Screen 165Hz 1ms Height Adjustment AMD Freesync HDMI/DP/USB HDR Ready 2560 X 1440 QHD 27"" Gaming Monitor (Optix MAG272QR), Black"
PSRT_Recs_003	B073JX8NPX	"8"" shallow subwoofer"	Polk Audio DB+ 8 Inch 750 Watt 4 Ohm DVC Marine, ATV & Car Subwoofer | DB842DVC
PSRT_Recs_004	B07GZ8CGN2	16‑ch DVR security system	Wisenet SDH-C85105BF 16 Channel Super HD DVR Video Security System with 2TB Hard Drive and 10 5MP Weather Resistant Bullet Cameras (SDC-89445BF)
PSRT_Recs_005	B003M0DWS2	side table (decor)	Design Toscano Stacked Book Volumes Vintage Decor End Table with Glass Top, 20 Inch, Polyresin, Full Color
PSRT_Recs_006	B01AHGMH34	"12"" nonstick fry pan"	Tramontina Professional Nonstick Fry Pan Aluminum 12 inch, 80114/536DS, Made in Brazil
PSRT_Recs_007	B07DSSDXQW	35 L travel backpack	Gregory Mountain Products Border 35 Liter Laptop Backpack, Pixel Black, One Size
PSRT_Recs_008	B07XDCG988	office guest chair	Flash Furniture Black Mesh Sled Base Side Reception Chair with Flip-Up Arms
PSRT_Recs_009	B00WIN00FC	pool saddle float	TRC Recreation SS Deluxe Saddle - Orange Breeze
PSRT_Recs_010	B07C1MYDSD	USB‑C to HDMI cable	USB C to HDMI Cable 6.6ft, Colorfulday USB 3.1 Type C Thunderbolt 3 Port to HDMI 4K 30Hz Cable for New MacBook Pro iPad Pro 2018/2019 iMac Chromebook Pixel Galaxy S8/S9 S8/S9 Plus Note9/10
PSRT_Recs_011	B08J4DFWDR	camera battery & charger	BM Premium BLS-50, PS-BLS5 Battery and Charger for Olympus OM-D E-M5 III, E-M10, E-M10 III, E-M10 IV, E-PL7, E-PL8, E-PL9, E-PL10, Stylus 1 Cameras
PSRT_Recs_012	B075YT4TFQ	RGB video light wand	YONGNUO YN360 II Pro LED Video Light 3200K-5500K and RGB Full Color CRI≥95 Support APP Remote Control
PSRT_Recs_013	B07BF52NWW	handheld radio antenna	HYS Dual Band SMA-Male Antenna Dismountable Telescopic Two Way Radio Antenna VHF/UHF 144/430MHz for Yaesu Vertex TYT Walkie Talkies,(33.5-inch)
PSRT_Recs_014	B07QD42MQD	10TB external USB 3.0 desktop hard drive	WD Easystore 10TB External USB 3.0 Hard Drive - Black
PSRT_Recs_015	B076YD997C	"7"" Android tablet with keyboard case"	RCA Voyager Pro 7 inch Tablet (Touchscreen) with Keyboard Case - Android 6.0 (Marshmallow) -16 GB Storage Memory - PINK
PSRT_Recs_016	B0752VLH9N	produce berry basket	JA Kitchens QUART Green Molded Pulp Fiber Berry/Produce Vented Basket (20 Pieces)
PSRT_Recs_017	B005I608BW	beverage dispenser	Circleware Verona Square Jar Glass Beverage Dispenser with Metal Stand, Water Juice, Beer, Wine, Liquor, Kombucha Iced Punch & Best Selling Drinks, HUGE 4.76 Gallon, Clear
PSRT_Recs_018	B00A37WXWS	fluorocarbon leader line	Yo-Zuri H.D. Fluorocarbon Wrist Spool 100-Yard Leader Line, Pink, 20-Pound
